n,r,network_nr,network,gene_tree
40,15,11,"(((#C,(#B,(((#O,(((t12,t26),(t16,t15)),((t24,(t21)#D),(((t17,t27),(((((t20)#M,t22),(t14)#I),(t40)#G),#N)),(((((t29)#L,t7),((t28,#L),t8)),(#K,(t5,t34))))#A)))),((t18,(t11,t1)))#J),(((t32,(t30)#K),(t25,(t3,#I))))#E))),(((t31)#O,(#D,(t33,t35))),((t23,(t37)#F),#J))),(#A,(t10,((((t38)#H,(#G,t4)),((#F,(t19,t6)))#C),((#E,(#H,(t39,(t36,(((t2)#B,t13),(t9)#N))))),#M)))))","((t10,((t38,(t40,t4)),(t39,((t36,(t13,t2)),t20)))),(((((t31,((t21,t21),(t33,t35))),((t18,(t1,t11)),t23)),(t37,(t6,t19))),((((t3,t14),t25),t32),((((((t28,t8),((t7,t7),t29)),((t30,t34),t5)),t24),(t17,t22)),((t12,t26),(t15,t16))))),(((((((t22,(t27,t17)),t9),(t24,(((t7,t29),(t28,t8)),((t5,t34),t30)))),(((t14,t3),t25),t32)),((t26,t12),(t15,t16))),((t19,t6),t37)),((((t11,t1),t18),t23),((((t11,t1),t18),t23),((t21,(t33,t35)),t31))))))"
40,15,12,"(((t3,(#A,t37)),((#M,(t19,(t16)#L)))#F),(((t27,(#I,(((((t12,t24))#I,(t33,(((t26,t4),t30))#O)),(t35)#E),(#D,(((t32,(t18)#B),((t9,(#N,(t17,t36))))#K),(#G,((t5)#H,t25))))))),(t20,((((t23,(t39)#N))#M,(t21,(t31)#D)),#K))),(#F,(t6,(#O,(((t15,(t7,t38)),(#H,(((#C,(t13,(t40)#J)),#J),(((t8,t14),t29),#E)))),((t10,(t2,(t28)#A)),(#B,((#L,(t11,t1)),((t22,(t34)#C))#G)))))))))","((t3,(t28,t37)),((((t30,(t4,t26)),(((((t38,t7),t15),t13),((((t16,(t11,t1)),t22),t34),(t10,t2))),((t10,t2),(((t16,(t1,t11)),(t22,t34)),((t22,t34),((t1,t11),t16)))))),t6),((((t31,((t5,t25),((t32,(t18,t18)),(t17,(t36,t9))))),(t27,(((t39,t23),t20),t21))),t33),(t12,t24))))"
40,15,13,"((#E,((t14)#N,(((t13,(t23)#D),t10),(t25)#I))),((#C,(((t21,(#O,t3)),(t9)#J),(#J,(((t27,t28),(t39,(t20)#F)),(#F,t18))))),(#B,(((((((t5,(t40)#H),((t12,t15))#L),t32),((t1,(((t33,(t35)#C),(#M,(t17,t38))),((t2)#M,(#D,t34)))))#B),((#K,((t8,t11),t7)),(#A,(#H,(#G,(((t16)#O,t29),((#N,(t22,(t24,(t19)#K))))#G)))))),#I),((t26,((t30,t36))#E),((t4,t37),((t6,(#L,t31)))#A))))))","((((t18,t9),(((t20,t28),t39),t27)),(t3,t21)),(((((((t36,t30),t26),(t4,t37)),(((((t11,t7),((t24,t22),(t29,t16))),t8),t19),(t31,t6))),(((t33,t17),(t2,t34)),t1)),t25),((t5,(t15,t12)),t32)))"
40,15,14,"(t35,(((t14,(((t29)#M,t25))#A),t34),((((t37,(#K,t10)),((((((t36,(t17)#D),t5),t18),(t16,(t39)#J)),#N))#E),(((t22,((t19,(t3)#I))#G),((t12,(t33,(#I,t20))),(#H,(((t6,(#G,(t28,(t15)#L))),(t27,((#A,(#J,t4)))#C)),(((#C,((t7,t31),(#L,(#B,(#O,(((t1,(t32,#D)),t26),(t30,t24))))))))#H,(((t9)#O,t11),((t38,t21))#F)))))),#E)),((((t40,(t13)#K),(#M,t2)),((t8,(t23)#B))#N),#F))))","(t35,((t16,(t18,(t5,(t36,t17)))),((((t22,t33),t12),((((((t6,(t25,t27)),t39),t4),t19),((t7,(t31,t31)),(((t24,(t32,(t30,t23))),t26),t15))),((t11,t9),(t21,t38)))),((t16,(t18,((t36,t17),t5))),((t10,t37),(((t29,t2),(t13,t40)),t8))))))"
40,15,15,"((((t22,((t33)#N,((t20,(t24,t5)),(t26)#C))),(#J,(((t4,(t17)#H))#E,(t23,(t34)#I)))),(#F,(((((t10)#K,t36),#O),(#C,(t6,(t38)#G))),t21))),((((((t30)#J,t13),(#L,(t11,(t37,#D)))),t12),((((t7,(t31)#O))#M,(#B,((#N,(t32,(t39)#A)),t3))),((((t28,(t40,t35)),#G),#I),((((t25,(t15)#D))#L,((t27,(t1)#B),t14)),t19)))),(#M,((((t18,(t8,#H)),(#E,(#A,(t9,#K)))),(t16)#F),(t2,t29)))))","(((t16,(t21,(((t26,(t20,(t5,t24))),t33),(t22,(t30,(t4,t23)))))),(t6,t36)),((((t7,t31),t2),((t10,(t9,t39)),((t8,t17),t18))),(((t12,(((t15,t25),(t37,t11)),t13)),((t32,t3),((t19,(t14,(t27,t1))),(t34,(((t40,t35),t28),t38))))),t29)))"
40,15,16,"((((((t14)#E,(t6,(t1)#F)),(t4,(t22)#K)),(t27,((t30,((t16,#J))#I))#C)),((((t24,((t8,t10))#N),((t36,(t37)#B),((#H,(t12,(t29,#I))))#L)),((t23,(t31,(t25)#M)))#H),((((t20,((t35,(#N,t21)))#D),(t3)#G),(#C,(#G,((t11,(#D,(t19,(#K,(t39,t2))))),t15)))),((#L,((#E,(t17,(#M,t34))),((#F,(#O,(t33,((t18,(t38)#J))#O))))#A)),(#B,(t40,(t28,(t26,(t5,(t32,t7)))))))))),(#A,(t9,t13)))","((t13,t9),(((((t37,t40),((t29,t12),((t18,t33),(t17,t34)))),((t26,((t7,t5),t32)),t28)),((((t11,((t39,t2),t19)),t15),(t30,(t38,t16))),(((t20,(t21,t21)),t35),t3))),(((t24,t36),(t25,t31)),(((t22,t4),((t6,t1),t14)),t27))))"
40,15,17,"((((#K,t37),(#D,(t35,((((t12)#F,t31),t29))#K))),((((((((#L,((t22,t15),(#B,(t20,t13)))))#G,t24),(((((t28)#O,(#A,(t14,(t16)#D))),#M),(#C,(t21,(t18)#A))),((t5,t3),(t4)#E))),((((t40,(t33,t8)),(t32,#F)),(t39,(((t23,(t1)#C),#O),((t36,t2))#B))),#E)),t10),#I),(((t9,((t7,((t34,t27))#J),t30)))#M,t11))),((((((((t26,(t25)#I),(t17)#L))#H,(t6,#G)))#N,(#J,t19)),#N),(#H,t38)))","((t38,((((t2,(t15,t22)),(t13,t20)),t6),(t19,(t34,t27)))),(t11,(t10,(((t4,((((t1,t23),(t23,t1)),t39),(((t32,(t32,t32)),(t33,t8)),t40))),((t5,t3),(((t28,(t14,t16)),(t9,(t30,t7))),(t18,t21)))),(t37,t37)))))"
40,15,18,"((((t7,(t38)#F),((t5,(t35)#M),(t31)#N)),#H),(#G,(#F,((((#E,(((t14,t40),(t28)#J),(#A,(((t4,(t8)#I),t22),(#N,((t33,(t1,(t20)#B)),t23)))))),(#B,(#C,((t2,(t37,#O)),t16)))),((t18,(t12,((#D,t21))#K)),#J)),((t17,t9),(((t19,(t29)#G),((t10,((t13)#L,t34)),t24)),(#I,((t39,t32),(((t25,(#K,((t6)#O,t11))),(t27)#E),((((#M,(t15,(#L,(t30,(t3)#D)))),(t26)#H),(t36)#A))#C)))))))))","(((t7,t38),(((t5,t35),(t5,t35)),t26)),((((t19,(t24,(t10,(t13,t34)))),(t8,((t32,(t39,t39)),(((t15,t30),t36),((t6,t11),(t27,t25)))))),(t9,t17)),((t18,((t3,t21),(t12,t12))),((((t40,t14),t28),((t4,t22),((t31,(t33,(t1,t23))),t23))),(t20,(t16,(t37,t2)))))))"
40,15,19,"((((((((t5,(t22)#M),((#M,t23))#H),t10),t15),(((((t11)#N,t7))#J,(#C,(#O,t9))),t40)),t26),(((#I,(t32,t3)),(((#L,t33))#K,t36)),((#J,((t4,(t25,((#E,t37))#G)),((#B,(((#K,(t14,t30)),((((t13,(#H,t18)),(t24)#O),((t34,(t2)#B),#N)))#I),t1)),((t31,(#D,t27)))#A))),t21))),(#A,(t20,(#G,((t8,(t29)#E),(((t19,(t16)#D),((t12,(t38)#L),(((t39)#F,t28),t6))),((#F,t35),(t17)#C)))))))","(((((t8,((t19,((t6,t28),(t12,t38))),(t39,(t35,t17)))),(t29,t37)),t20),((t29,t37),(t8,((t35,(t39,t17)),(((((t38,t12),t12),t38),(t28,t6)),t19))))),((((((t32,t3),((t13,t18),(t34,t2))),(t36,t33)),((t21,(t25,t4)),(((t27,t16),t31),((t30,t14),t1)))),(((t15,(t10,((t5,t22),t23))),((t9,t24),t7)),t40)),(t26,t26)))"
40,15,20,"((t24,(#A,((((((t22,(t18)#K))#J,((t7)#N,(t31,((t9)#C,t21)))),(#B,t30)),t15),((t6,(t16,t27)),t13)))),(#E,(#N,(((t25,((#F,(((t4,((#C,t11))#H),(#H,(#I,((t35,((t39,(t14)#G))#F),#L)))),#J)),(((((t3,((t19,((t26,((#O,t17))#E))#B),((t23,t29))#A)),#M),(t5,t8)),(t34,(t12)#L)),(#G,(t2,((#K,((t20,(t32)#O),(t10)#M)))#D))))),(((t33)#I,t40),#D)),(((t37,t28),t1),(t36,t38))))))","((((((t16,t27),t6),t13),(((t7,((t21,t9),t31)),t15),t30)),t24),((t22,t22),(((t11,t4),(((t14,t35),t39),t12)),(((t25,(t33,t40)),(((t37,t1),t28),(t38,t36))),((((t10,t3),t10),((t19,((t26,t32),t17)),((t23,t29),(t32,((t26,t17),t19))))),(t34,((t8,t5),((t29,t23),((t3,t10),(t19,(t26,(t17,t32))))))))))))"
40,15,21,"((((((t30,t8),t23),(((t10,(t5)#J),((t36,t12))#N),(((t21,((#E,t24))#F))#O,t28))),(t31)#A),(#I,(((t9,(t2,t18)),(#A,(((t38)#L,t20),t22))),#N))),(t26,(((((t35,(t34)#I),((t7,(t17)#K))#H),((#M,((t4,(t15)#C),((#J,t25))#M)),(t27)#G)),#K),(#H,((#O,((t16,((t32,(t40)#D),t6)),(#B,(t11,((t19,t39),(t1)#E))))),((t37,(#F,(#L,((#D,(#C,(t3,t14))),(t13)#B)))),(#G,(t33,t29))))))))","((((t28,((t36,t12),t10)),(((t8,t30),(t30,t8)),t23)),((((t18,t2),(t2,t18)),t9),((t20,t22),t31))),(t26,((t17,(((((t4,t15),(t25,t5)),t27),t35),t7)),((((((t24,t1),t38),(t3,(t14,t13))),t37),(t29,(t33,t33))),((((t39,t19),(t19,t39)),t11),(t16,((t32,t40),((t6,(t6,t6)),(t6,t6)))))))))"
40,15,22,"((((t14,(t20,(((t2)#H,(((t19)#E,(t25,(t10)#O)),#N)))#I)),(#C,(t28,((t17,(t3)#L))#A))),((#H,t31),((t27,(#M,t33)),t9))),(#K,((#B,(((t1,(t36)#B),t37),(#G,(t15,(#A,t13))))),((t24,(t6)#D),(((((((t35,t38),#I),((t21,t5),(((#L,t8),((#E,t30))#G),(t16)#J))),(((t12,(((t23)#K,t32))#C),t7),((#O,(t4,t34)),((t39,(t29)#N),(t11)#M)))),((t18,(t40)#F),#F)),((t22,t26),#D)),#J)))))","(((((t9,(t33,t11)),t27),t31),(((t23,t32),t28),(t14,t20))),(((t6,t24),((t26,(t22,t22)),((t39,(t12,t7)),((t40,t18),(((t5,t21),((t30,t19),(t8,t3))),((t38,t35),(t29,(t2,(t25,t10))))))))),((((t36,t1),t37),(t15,(t17,t13))),(t15,(t17,t13)))))"
40,15,23,"((((((t40)#K,t33),(t13,t27)),((#C,((#N,(t34,((t4,(#G,t24)),((#K,(t25,(t8)#G)))#H))),(((#I,(t22,t14)),t19),(t38,(((t30,(((t26)#O,t3))#E),(t39)#J),(#D,t1)))))))#A),(#A,((#M,((t36,(t15,(t18)#B)),(#F,(t2,t7)))),(#J,(#L,((t23,t5),((#B,t17))#L)))))),((((t29,((t16,t11))#N),((t9,t31),(t12)#M)),(((t35,(t28)#F),(#E,(((t37,((t6)#I,t20)),#H),(t32,(t21)#D)))),(t10)#C)),#O))","(((((t17,(t5,t23)),t39),(((t12,t36),(t2,t7)),(t15,t18))),t26),((t29,((t32,(t35,t28)),(t20,t37))),((((((t21,t1),((t6,(t22,t14)),t19)),(t3,t30)),(((t24,(t4,(t8,t25))),t34),((t33,t40),(t27,t13)))),t10),(t16,t11))))"
40,15,24,"((t26,(#M,((((t34,t16),((#H,(t23,(t8)#F)),((t17,(#C,t12)))#G)),(t2,(t29)#H)),(#E,(((((t22)#O,t18),((t19,(#N,(((t27,(t31)#N),(((t35)#M,t3))#C),t25))),t36)),(t40,(t6)#K)),(#G,(((t7)#J,(((t21,(#O,(t9,(t15)#I))),(#D,t14)),(t28,((#K,(#B,t20)))#E))),((t32,(#I,t5)),(#J,(#L,((t24,t33),(t39)#L))))))))))),((t4,(t11,((t13,(t10)#A))#D)),(#A,(((t38,t1),(t30)#B),(#F,t37)))))","(((t37,((t30,t1),t38)),(t4,((t10,t13),t11))),(t26,(t35,((t2,((t16,t34),((t23,t8),t29))),((((t14,(t22,t9)),(t28,t20)),(t17,(t12,t3))),(((((t15,t5),t32),(t7,t7)),(t39,(t24,t33))),(((t15,t5),t32),(((t24,t33),t39),t7))))))))"
40,15,25,"(((#O,((t8,(#M,t25)),(#L,((t34)#J,(t15,#G))))),((#I,((((t31,(((t36,t12),t19))#B),(t9,t17)),((t11,(t20,t32)),t4)),((t28,(t23,(t2)#I)))#O)),#N)),(#B,((t5,(t24)#D),(((t16,(t40)#L),(t37,(t35,(((#D,t10),((t7)#G,(#J,t6))))#K))),(#A,((((t29,(((t14,t27),t1),#H)),(#C,(#F,((((t18,((t22,(t13)#E))#H),(t3)#F))#N,t30)))),(#K,(t21,t26))),((((t38)#M,t33),((#E,t39))#A))#C))))))","((((t38,(t8,t25)),t34),((((t38,t25),t8),t34),((t2,((t22,(t13,t18)),t3)),(((t31,(t17,t9)),((t11,(t20,t32)),t4)),(t28,t23))))),(((((t30,(t33,t39)),(t26,t21)),(t29,((t27,t14),t1))),((t40,t16),((t35,t37),((t7,t6),(t10,t24))))),t5))"
40,15,26,"((((t3,(#E,t30)),(#K,((t7,(#A,(t17,(#I,(t29,((t38,t15),((t24,t21),(t14)#C))))))),((t31,(t20)#G),#H)))),(((((t22,((t26,((t35,(t25)#H))#O))#L),(t10,(t40)#I)),((t1,((t18,(((t12,(t2)#B),((t36,t13))#N))#D))#J),(((t16)#E,t9))#M)),(#D,(((#M,(t19,(#L,(t8,#N)))))#K,(#C,((t37,t6),((t5,(t28)#F),(#B,(#F,(t34,t27))))))))),#J)),(t11,(t32,((#G,((t33,t39),(#O,t4))),(t23)#A))))","((((t7,(t17,((t21,t24),(t38,t15)))),t31),(t25,(((t8,(t26,t19)),(t9,t16)),(t3,t30)))),((t22,(t40,t10)),(t1,(((t2,t12),(t13,t36)),(((((t28,t27),t34),((t37,t6),t5)),t14),(t14,(t5,((t37,t6),((t28,t27),t34)))))))))"
40,15,27,"((((t17,(((#B,t36),(t31)#B))#M),((t24,(((t33,t10),(t20)#K))#D),t6)),(((t8,(#D,t9)),(((t38,t35),(#I,((((t2,(#N,(t12,t11))),(((t13,t32),t34))#C),(((t16,(#M,(t28,(((t21,(t5)#E),(t26)#J),#J)))),((#E,(((#A,t1))#H,t37)))#N))#L),(((t3,(t39)#G),(t29)#O),#F)))),#K)),t23)),(#L,(((((t7,((t22,t14))#A),#O),(#G,t25)),(t27,t18)),((#H,((t15,(t30)#F),#C)),((t4,(t40,t19)))#I))))","((((t27,t18),((t39,t25),(t29,(t7,((t14,t22),(t22,t14)))))),((((t32,t13),t34),t15),(t1,t1))),(((t24,(t33,t10)),t17),(t23,((t9,(t8,t8)),((t20,t20),(((((t11,t12),t37),t2),(t16,((t36,t31),((t26,(t5,t21)),t28)))),((t35,t38),(t4,(t19,t40)))))))))"
40,15,28,"((#E,(t10,(t27,((((t22,((t3,t39))#A),t37),(((((t5,(t23)#I))#M,(t8,#L)),(#F,t12)))#C))#J))),(#C,((t26,((t34,#H))#B),(#G,(((((t4)#O,t32),(#B,(t38,(#M,t20)))),(#A,((t9,t35),(((t30,(#K,(t21,(t14)#K))),(t33)#D),(t2,(t6)#L))))),(#J,((((t24,((#I,t31))#E),(t19)#F),(t40)#N),(((t11,((t18,(t29,#O)),t36)),(t7,((t15,((t17,(t13,t28)),(t1,#N))),((t25,(t16)#H),#D)))))#G)))))))","(((t27,t10),(t23,t31)),((((((t37,(t22,t39)),t12),(t8,t6)),((t9,t35),((t38,t32),(((t21,t14),t30),t2)))),(t19,(t24,t40))),(t26,(t34,t16))))"
40,15,29,"(((t24,(#G,((((t14,(t37,(t11,(t33)#N))),(#J,((t26,t20),t17))),(#B,(((t1,((t31,((t34,t18))#D))#K),((#I,((t9,((t39,(t32)#A))#C),(#N,(#D,(#L,(((t6,(t38)#O),t12),#H)))))),#C)),(t21)#G))),(#O,(t22,t23))))),((t36,(#A,t19)),((t5,(t7)#B),(t30,((t25,((t28,t3))#H))#L)))),((t2,((#K,(#E,((#F,(#M,(t15,((t29,(t4,(t10)#J)),((t35,t13))#F)))),((t27,((t8,t40))#M))#E))))#I),t16))","((t16,(((t13,t35),(((t15,(t29,(t10,t4))),((t8,t40),t27)),(t31,(t18,t34)))),t2)),(((t24,t24),(((t22,t23),t38),((t7,(t21,(t1,(((t39,t32),t9),((t12,t6),t33))))),((((t20,t26),t17),(t14,(t11,t37))),((((t21,t1),((t39,t32),t9)),((t12,t6),t33)),t7))))),(t19,t5)))"
40,15,30,"(((((((((t28,t33))#K,(#J,t40)),(((t31,t11),t34),((t12,(t17)#D),((t14,(t32)#J))#B))),(#I,(((t18,(t9)#G),(t25)#F),t2))),(((t15,(t5)#H),(#A,(t4,(#C,(t16,t21))))))#I),(#E,(#L,((t1,(#D,((t3,t13),(#N,(#O,(t36,(t30)#M)))))),(t22)#E)))),#F),(#B,(((((t26,(t7)#N),((#K,t35),(#H,((((t23)#O,t19),t37),(t20)#C)))),t6),((t27,(t10,(t38,(t8)#L))),(#G,(#M,t24)))),(t39,(t29)#A))))","(((t39,t29),((((t10,t38),t24),t27),((t37,t35),(t26,t6)))),(((((t8,t22),((((t36,t23),t7),t30),(t13,t3))),t1),((((t14,(t17,t12)),(t34,(t11,t31))),((t33,t28),t40)),(((t4,(t20,(t16,t21))),(t5,t15)),(t2,(t9,t18))))),t25))"
